,file_name,case_name,docket_number,Argued,Decided,Granted,first_party,first_party_label,second_party,second_party_label,winning_party,decision_type,majority_vote,minority_vote,advocate_0,advocate_description_0,advocate_1,advocate_description_1,advocate_2,advocate_description_2,advocate_3,advocate_description_3,advocate_4,advocate_description_4,advocate_5,advocate_description_5,advocate_6,advocate_description_6,advocate_7,advocate_description_7,advocate_8,advocate_description_8,advocate_9,advocate_description_9,advocate_10,advocate_description_10,advocate_11,advocate_description_11,advocate_12,advocate_description_12,advocate_13,advocate_description_13,advocate_14,advocate_description_14,advocate_15,advocate_description_15,john_m_harlan2,hugo_l_black,william_o_douglas,potter_stewart,william_j_brennan_jr,byron_r_white,earl_warren,tom_c_clark,abe_fortas,thurgood_marshall,harry_a_blackmun,lewis_f_powell_jr,william_h_rehnquist,john_paul_stevens,sandra_day_oconnor,antonin_scalia,anthony_m_kennedy,david_h_souter,clarence_thomas,ruth_bader_ginsburg,stephen_g_breyer,felix_frankfurter,harold_burton,stanley_reed,sherman_minton,arthur_j_goldberg,sonia_sotomayor,john_g_roberts_jr,samuel_a_alito_jr,warren_e_burger,elena_kagan,neil_gorsuch,brett_m_kavanaugh,charles_e_whittaker
0,1966.86,United States v. Acme Process Equipment Company,86,1966-11,1966-12,,United States,Petitioner,Acme Process Equipment Company,Respondent,United States,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,
0,1986.85-530,O'Connor v. Ortega,85-530,1986-10,1987-03,,O'Connor,Petitioner,Ortega,Respondent,O'Connor,plurality opinion,5.0,4.0,joel_i_klein,"By invitation of the Court, argued the cause as amicus curiae in support of the judgment below",jeffrey_t_miller,Argued the cause for the petitioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,,,,minority,minority,majority,majority,minority,majority,majority,,,,,,,,,,,,,,,,,,
0,1988.87-1318,"Volt Information Sciences, Inc. v. Board of Trustees, Leland Stanford Junior University",87-1318,1988-11,1989-03,,"Volt Information Sciences, Inc.",Appellant,"Board of Trustees, Leland Stanford Junior University",Appellee,,majority opinion,6.0,2.0,james_e_harrington,on behalf of the Petitioner,david_m_heilbron,on behalf of the Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,,,,minority,majority,,majority,majority,none,majority,majority,,,,,,,,,,,,,,,,,
0,1986.86-381,"California v. Superior Court of California, San Bernardino County",86-381,1987-04,1987-06,,California,Petitioner,"Superior Court of California, San Bernardino County",Respondent,California,majority opinion,7.0,2.0,dennis_p_riordan,on behalf of Respondent,j_robert_jibson,on behalf of Petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,,,,majority,majority,majority,majority,minority,majority,majority,,,,,,,,,,,,,,,,,,
0,1989.65_orig,Texas v. New Mexico,65 ORIG,,1990-02,,Texas,Petitioner,New Mexico,Respondent,Both,per curiam,9.0,0.0,louis_f_hubener_iii,for petitioners,richard_m_powers,for respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,
0,1990.90-50,Gregory v. Ashcroft,90-50,1991-03,1991-06,,Gregory,Petitioner,Ashcroft,Respondent,,majority opinion,7.0,2.0,jim_j_shoemake,on behalf of the Petitioners,james_b_deutsch,on behalf of the Respondent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,,,minority,minority,,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,
0,1966.92,Camara v. Municipal Court of the City and County of San Francisco,92,1967-02,1967-06,,Roland Camara ,Appellant,Municipal Court of the City and County of San Francisco,Appellee,Camara,majority opinion,6.0,3.0,marshall_w_krause,for the appellant,albert_w_harris_jr,"Assistant Attorney General of California, for the appellee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,minority,majority,majority,majority,minority,majority,,,,,,,,,,,,,,,,,,,,,,,,,
0,1999.98-1441,Roe v. Flores-Ortega,98-1441,1999-11,2000-02,,Roe,Petitioner,Flores-Ortega,Respondent,Roe,majority opinion,6.0,3.0,paul_e_oconnor,"Sacramento, California argued the cause for the petitioner",edward_c_dumont,"Argued the cause for the United States, as amicus curiae, by special leave of court, supporting the petitioner",quin_denvir,"Sacramento, California, argued the cause for the respondent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,minority,majority,majority,majority,minority,majority,minority,majority,,,,,,,,,,,,,
0,2005.05-409,Kircher v. Putnam Funds Trust,05-409,2006-04,2006-06,2006-01,Carl Kircher et al.,Petitioner,Putnam Funds Trust et al.,Respondent,"Carl Kircher, et al.",majority opinion,9.0,0.0,mark_a_perry,argued the cause for Respondents,david_c_frederick,argued the cause for Petitioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,,majority,majority,majority,majority,majority,majority,,,,,,,majority,majority,,,,,
0,1989.88-599,Washington v. Harper,88-599,1989-10,1990-02,,Washington,Petitioner,Harper,Respondent,Washington,majority opinion,6.0,3.0,brian_reed_phillips,on behalf of Respondent,paul_j_larkin_jr,"as amicus curiae, supporting Petitioners",william_l_williams,on behalf of Petitioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,,,,minority,majority,,majority,minority,majority,majority,majority,,,,,,,,,,,,,,,,,
0,1993.92-1546,United States v. Irvine,92-1546,1993-12,1994-04,,United States,Petitioner,Irvine et al.,Respondent,United States,majority opinion,8.0,0.0,phillip_h_martin,on behalf of the Respondents,kent_l_jones,on behalf of the Plaintiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,
