,file_name,case_name,docket_number,Argued,Decided,first_party,first_party_label,second_party,second_party_label,winning_party,decision_type,majority_vote,minority_vote,john_m_harlan2,hugo_l_black,william_o_douglas,potter_stewart,william_j_brennan_jr,byron_r_white,earl_warren,tom_c_clark,abe_fortas,thurgood_marshall,harry_a_blackmun,lewis_f_powell_jr,william_h_rehnquist,john_paul_stevens,sandra_day_oconnor,antonin_scalia,advocate_ID_0,advocate_0,advocate_description_0,advocate_ID_1,advocate_1,advocate_description_1,anthony_m_kennedy,david_h_souter,clarence_thomas,ruth_bader_ginsburg,stephen_g_breyer,advocate_ID_2,advocate_2,advocate_description_2,Granted,john_g_roberts_jr,samuel_a_alito_jr,warren_e_burger,Reargued,felix_frankfurter,harold_burton,stanley_reed,sherman_minton,arthur_j_goldberg,sonia_sotomayor,advocate_ID_3,advocate_3,advocate_description_3,advocate_ID_4,advocate_4,advocate_description_4,charles_e_whittaker,advocate_ID_5,advocate_5,advocate_description_5,advocate_ID_6,advocate_6,advocate_description_6,advocate_ID_7,advocate_7,advocate_description_7,advocate_ID_8,advocate_8,advocate_description_8,advocate_ID_9,advocate_9,advocate_description_9,elena_kagan,neil_gorsuch,brett_m_kavanaugh,advocate_ID_10,advocate_10,advocate_description_10,Restored to the calendar and set for reargument,"Revoked order of June 23, 1975",advocate_ID_11,advocate_11,advocate_description_11,advocate_ID_12,advocate_12,advocate_description_12,advocate_ID_13,advocate_13,advocate_description_13,advocate_ID_14,advocate_14,advocate_description_14,advocate_ID_15,advocate_15,advocate_description_15,Question certified to the Supreme Court of Florida,Question certified,Juris Postponed
0,1966.86,United States v. Acme Process Equipment Company,86,-99252000.0,-97005600.0,United States,Petitioner,Acme Process Equipment Company,Respondent,United States,majority opinion,9.0,0.0,majority,majority,majority,majority,majority,majority,majority,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1986.85-530,O'Connor v. Ortega,85-530,529736400.0,544168800.0,O'Connor,Petitioner,Ortega,Respondent,O'Connor,plurality opinion,5.0,4.0,,,,,minority,majority,,,,minority,minority,majority,majority,minority,majority,majority,31305.0,joel_i_klein,"By invitation of the Court, argued the cause as amicus curiae in support of the judgment below",31863.0,jeffrey_t_miller,Argued the cause for the petitioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1988.87-1318,"Volt Information Sciences, Inc. v. Board of Trustees, Leland Stanford Junior University",87-1318,596872800.0,605167200.0,"Volt Information Sciences, Inc.",Appellant,"Board of Trustees, Leland Stanford Junior University",Appellee,,majority opinion,6.0,2.0,,,,,minority,majority,,,,minority,majority,,majority,majority,none,majority,30950.0,james_e_harrington,on behalf of the Petitioner,20977.0,david_m_heilbron,on behalf of the Respondent,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1986.86-381,"California v. Superior Court of California, San Bernardino County",86-381,546066000.0,550213200.0,California,Petitioner,"Superior Court of California, San Bernardino County",Respondent,California,majority opinion,7.0,2.0,,,,,minority,majority,,,,majority,majority,majority,majority,minority,majority,majority,21397.0,dennis_p_riordan,on behalf of Respondent,31170.0,j_robert_jibson,on behalf of Petitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1989.65_orig,Texas v. New Mexico,65 ORIG,,636098400.0,Texas,Petitioner,New Mexico,Respondent,Both,per curiam,9.0,0.0,,,,,majority,majority,,,,majority,majority,,majority,majority,majority,majority,34604.0,louis_f_hubener_iii,for petitioners,40181.0,richard_m_powers,for respondent,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1990.90-50,Gregory v. Ashcroft,90-50,669276000.0,677394000.0,Gregory,Petitioner,Ashcroft,Respondent,,majority opinion,7.0,2.0,,,,,,majority,,,,minority,minority,,majority,majority,majority,majority,32840.0,jim_j_shoemake,on behalf of the Petitioners,30093.0,james_b_deutsch,on behalf of the Respondent,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1966.92,Camara v. Municipal Court of the City and County of San Francisco,92,-90784800.0,-81284400.0,Roland Camara ,Appellant,Municipal Court of the City and County of San Francisco,Appellee,Camara,majority opinion,6.0,3.0,minority,majority,majority,minority,majority,majority,majority,minority,majority,,,,,,,,36133.0,marshall_w_krause,for the appellant,16155.0,albert_w_harris_jr,"Assistant Attorney General of California, for the appellee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1999.98-1441,Roe v. Flores-Ortega,98-1441,941436000.0,951285600.0,Roe,Petitioner,Flores-Ortega,Respondent,Roe,majority opinion,6.0,3.0,,,,,,,,,,,,,majority,minority,majority,majority,38199.0,paul_e_oconnor,"Sacramento, California argued the cause for the petitioner",22157.0,edward_c_dumont,"Argued the cause for the United States, as amicus curiae, by special leave of court, supporting the petitioner",majority,minority,majority,minority,majority,38478.0,quin_denvir,"Sacramento, California, argued the cause for the respondent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2005.05-409,Kircher v. Putnam Funds Trust,05-409,1145854800.0,1150347600.0,Carl Kircher et al.,Petitioner,Putnam Funds Trust et al.,Respondent,"Carl Kircher, et al.",majority opinion,9.0,0.0,,,,,,,,,,,,,,majority,,majority,36483.0,mark_a_perry,argued the cause for Respondents,20869.0,david_c_frederick,argued the cause for Petitioners,majority,majority,majority,majority,majority,,,,1136527200.0,majority,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1989.88-599,Washington v. Harper,88-599,624085200.0,636098400.0,Washington,Petitioner,Harper,Respondent,Washington,majority opinion,6.0,3.0,,,,,minority,majority,,,,minority,majority,,majority,minority,majority,majority,17939.0,brian_reed_phillips,on behalf of Respondent,38091.0,paul_j_larkin_jr,"as amicus curiae, supporting Petitioners",majority,,,,,46501.0,william_l_williams,on behalf of Petitioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
