,file_name,case_name,docket_number,Argued,Decided,Granted,first_party,first_party_label,second_party,second_party_label,winning_party,decision_type,majority_vote,minority_vote,advocate_0,advocate_description_0,advocate_1,advocate_description_1,advocate_2,advocate_description_2,advocate_3,advocate_description_3,advocate_4,advocate_description_4,advocate_5,advocate_description_5,advocate_6,advocate_description_6,advocate_7,advocate_description_7,advocate_8,advocate_description_8,advocate_9,advocate_description_9,advocate_10,advocate_description_10,advocate_11,advocate_description_11,advocate_12,advocate_description_12,advocate_13,advocate_description_13,advocate_14,advocate_description_14,advocate_15,advocate_description_15,john_m_harlan2,hugo_l_black,william_o_douglas,potter_stewart,william_j_brennan_jr,byron_r_white,earl_warren,tom_c_clark,abe_fortas,thurgood_marshall,harry_a_blackmun,lewis_f_powell_jr,william_h_rehnquist,john_paul_stevens,sandra_day_oconnor,antonin_scalia,anthony_m_kennedy,david_h_souter,clarence_thomas,ruth_bader_ginsburg,stephen_g_breyer,felix_frankfurter,harold_burton,stanley_reed,sherman_minton,arthur_j_goldberg,sonia_sotomayor,john_g_roberts_jr,samuel_a_alito_jr,warren_e_burger,elena_kagan,neil_gorsuch,brett_m_kavanaugh,charles_e_whittaker,petitioner_wins
0,1955.112,Reece v. Georgia,112,-446407200.0,-444160800.0,,Reece,Petitioner,Georgia,Respondent,Reece,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
1,1955.11_orig,Mississippi v. Louisiana,11 ORIG,-449002800.0,-448398000.0,,Mississippi,Petitioner,Louisiana On exception to the Report of the Special Master,Respondent,,,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,0
2,1955.129,Doud v. Hodge,129,-436730400.0,-434484000.0,,Doud,Appellant,Hodge,Appellee,Doud,majority opinion,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,majority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
3,1955.13_orig,Wisconsin v. Tennessee,13 ORIG,-439927200.0,-439322400.0,,Wisconsin,Petitioner,Tennessee,Respondent,,per curiam,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,0
4,1955.15,Shields v. Atlantic Coast Line Railroad Company,150,-440272800.0,-436903200.0,,Shields,Petitioner,Atlantic Coast Line Railroad Company,Respondent,Shields,majority opinion,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,majority,majority,,,,majority,majority,,,,,,,,,,,,,,minority,minority,minority,majority,,,,,,,,,,1
5,1955.156,Remmer v. United States,156,-440359200.0,-436298400.0,,Remmer,Petitioner,United States,Respondent,Remmer,majority opinion,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,majority,majority,,,,none,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
6,1955.158,Frozen Food Exp. v. United States,158,-436125600.0,-432064800.0,,Frozen Food Exp.,Appellant,United States,Appellee,Frozen Food Exp.,majority opinion,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,majority,majority,majority,majority,,,,,,,,,,1
7,1955.162,"East Texas Motor Freight Lines, Inc. v. Frozen Food Express",162,-436125600.0,-432064800.0,,"East Texas Motor Freight Lines, Inc.",Appellant,Frozen Food Express,Appellee,,majority opinion,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,minority,minority,majority,minority,,,,,,,,,,0
8,1955.17,General Stores Corporation v. Shlensky,170,-440359200.0,-434484000.0,,General Stores Corporation,Petitioner,Shlensky,Respondent,,majority opinion,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,majority,majority,,,,majority,majority,,,,,,,,,,,,,,minority,minority,majority,majority,,,,,,,,,,0
9,1955.19,Mastro Plastics Corporation v. National Labor Relations Board,19,-448398000.0,-436903200.0,,Mastro Plastics Corporation,Petitioner,National Labor Relations Board,Respondent,,majority opinion,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minority,majority,majority,,,,majority,majority,,,,,,,,,,,,,,minority,majority,majority,minority,,,,,,,,,,0
