file_name,section,speaker_id,speaker_name,speaker_role,start,stop,text
1955.11_orig,0,15099,earl_warren,scotus_justice,0.0,38.86,The State of Mississippi versus the State of Louisiana.
1955.11_orig,0,17002,ashton_l_stewart,,40.133,42.036,May it please the Court.
1955.11_orig,0,15137,john_m_harlan,scotus_justice,549.305,550.621,Could I ask a question?
1955.11_orig,0,17002,ashton_l_stewart,,550.621,550.79,"Yes, sir."
1955.11_orig,0,15137,john_m_harlan,scotus_justice,550.79,560.161,(Inaudible)
1955.11_orig,0,17002,ashton_l_stewart,,560.161,563.823,"So long -- insofar as Diamond Point is concerned, yes, sir."
1955.11_orig,0,15137,john_m_harlan,scotus_justice,563.823,571.027,(Inaudible)
1955.11_orig,0,17002,ashton_l_stewart,,571.027,575.305,"Well, if it please the Court, I believe I can better demonstrate it here."
1955.11_orig,1,25023,gerard_h_brandon,,3030.715,3033.353,May it please the Court.
1955.11_orig,2,33183,james_d_thomas,,4406.808,4423.216,"If Your Honor please, the basic here of Louisiana is very apparent and I think the Chief Justice in his questions to Mr. Stewart immediately hit upon the soft spot in Louisiana's case."
1955.11_orig,2,15050,felix_frankfurter,scotus_justice,4469.583,4473.092,What is -- the word doesn't mean that (Inaudible)
1955.11_orig,2,33183,james_d_thomas,,4473.092,4474.891,"It means, “valley way” is a --"
1955.11_orig,2,15050,felix_frankfurter,scotus_justice,4474.891,4476.034,(Inaudible)
1955.11_orig,2,33183,james_d_thomas,,4476.034,4478.184,"Yes, sir, and no question about it but it doesn't --"
1955.11_orig,2,15050,felix_frankfurter,scotus_justice,4478.184,4481.614,(Inaudible) but that's what -- that's what the word means.
1955.11_orig,2,33183,james_d_thomas,,4481.614,4500.876,"The word means “valley way,” Your Honor please, but as used in Iowa versus Illinois, the term thalweg means the sit of the navigable channel of the Mississippi River, when is used in boundary disputes where a navigable stream is the boundary between two states, the boundary of the two States is fixed to the thalweg of the stream."
1955.11_orig,2,15050,felix_frankfurter,scotus_justice,4507.387,4509.295,(Inaudible) use the German word?
1955.11_orig,2,33183,james_d_thomas,,4509.295,4509.905,That's right.
1955.11_orig,3,17002,ashton_l_stewart,,5426.835,5428.615,May it please the Court.
