file_name,section,speaker_id,speaker_name,speaker_role,start,stop,text
2019.19-465,0,15086,john_g_roberts_jr,scotus_justice,0.0,12.04,"We will hear argument first this morning in Case 19-465, Chiafalo and others versus the State of Washington. Mr. Lessig."
2019.19-465,0,34782,lawrence_lessig,,12.04,26.16,"Mr. Chief Justice, and may it please this Court: The cases -- the question in these cases is straightforward: Do the states have the power to control through law how an elector may vote? They do not."
2019.19-465,0,15086,john_g_roberts_jr,scotus_justice,136.52,143.28,"Mr. Lessig, do you object to the pledge itself? Assume there's no fine or any other sanction."
2019.19-465,0,34782,lawrence_lessig,,151.16,165.2,"Absolutely, Your Honor. A pledge, understood the way Ray understood a pledge, having no legal obligation but a moral obligation, is perfectly fine pursuant -- as part of the appointment power of the state."
2019.19-465,0,15086,john_g_roberts_jr,scotus_justice,165.2,171.92,"Well, then -- so -- so the addition of a sanction makes no difference?"
2019.19-465,0,34782,lawrence_lessig,,171.92,174.4,"No, the sanction makes all the difference."
2019.19-465,0,15086,john_g_roberts_jr,scotus_justice,200.04,209.72,"So, if there were a fine of one dollar, you would say that violates the Constitution, but if it's simply a pledge, no violation at all?"
2019.19-465,0,34782,lawrence_lessig,,209.72,214.44,"That's right, because a fine is a legal obligation."
2019.19-465,0,15086,john_g_roberts_jr,scotus_justice,220.48,233.96,"So your argument is not that the sanction must have coercive effect, it's simply a -- if it's only a symbolic requirement, it still violates the law?"
2019.19-465,0,34782,lawrence_lessig,,233.96,236.24,"No, Your Honor."
2019.19-465,0,15086,john_g_roberts_jr,scotus_justice,255.04,264.84,"So, by legally coercive, you mean something different than simply coercive? In other words, if you add one dollar, that becomes legally coercive?"
2019.19-465,0,34782,lawrence_lessig,,264.84,286.0,"That's right, just as, with the Speech and Debate Clause, if you fine a Congressperson one dollar for his speech or his vote on the floor of Congress, that violates the Speech and Debate Clause. But there's no problem with saying to that Congressperson, to be a member of the Republican party, you must pledge to support the platform of the Republican party."
2019.19-465,0,15086,john_g_roberts_jr,scotus_justice,286.0,290.24,"Under your view, there would be no way to enforce the popular vote referendum?"
2019.19-465,0,34782,lawrence_lessig,,290.24,295.8,"The national popular vote compact, is that what you mean, Your Honor?"
2019.19-465,0,15086,john_g_roberts_jr,scotus_justice,295.8,296.76,Right.
2019.19-465,0,34782,lawrence_lessig,,303.28,330.0,"Well, Your Honor, that obligation requires the states to pick a select slate of electors that fits with the winner of the national popular vote, and that slate of electors then would have the same discretion, legal discretion, that we believe any elector has. But, of course, if there's a national popular vote compact, the number of electors for the winner would be so significant, it would be very hard to imagine any discretion affecting the ultimate result."
2019.19-465,0,15086,john_g_roberts_jr,scotus_justice,330.0,331.64,"Thank you, counsel. Justice Thomas?"
2019.19-465,0,15100,clarence_thomas,scotus_justice,331.64,337.08,"Thank you, Chief Justice. Mr. Lessig, just a preliminary question."
2019.19-465,0,34782,lawrence_lessig,,354.56,358.84,"Your Honor, I think you can ask the question both ways, and it's the same answer both ways."
2019.19-465,0,15100,clarence_thomas,scotus_justice,392.56,396.84,So when -- when you make your -- I'm curious.
2019.19-465,0,34782,lawrence_lessig,,409.2,412.36,"The federal function establishes the discretion, Your Honor."
2019.19-465,0,15100,clarence_thomas,scotus_justice,450.12,459.84,How do we determine what the contours of this federal function -- of the federal function would be?
2019.19-465,0,34782,lawrence_lessig,,459.84,462.36,I would -- I would look just to the text.
2019.19-465,0,15100,clarence_thomas,scotus_justice,489.4,494.28,But does the -- does the Twelfth Amendment mention discretion?
2019.19-465,0,34782,lawrence_lessig,,494.28,494.52,No.
2019.19-465,0,15100,clarence_thomas,scotus_justice,523.16,538.36,"You know, can the State remove someone, for example, that's -- I just wonder what limits -- what authority the State actually has here. Can the State remove someone who openly solicits payments for his or her vote?"
2019.19-465,0,34782,lawrence_lessig,,538.36,548.72,"You can certainly -- of course, this Court has said in Burroughs and in Fitzgerald v. Green, the state can certainly regulate corruption, and bribery would be corruption."
2019.19-465,0,15100,clarence_thomas,scotus_justice,552.04,552.52,So -- but where --
2019.19-465,0,34782,lawrence_lessig,,552.52,553.72,The question that --
2019.19-465,0,15100,clarence_thomas,scotus_justice,553.72,558.16,-- so where's the authority? Where does that come from?
2019.19-465,0,34782,lawrence_lessig,,558.16,589.16,"Well, it's interesting, Burroughs itself, Burroughs versus the United States, of course, found it inherent in the federal power to be able to protect federal elections from corruption. In Fitzgerald versus Green, they saw it as incidental to the power to appoint electors to be able to assure that the election, in that case the vote by the people, was consistent with law. Either of those could create the authority to avoid corruption, but, of course, corruption, like bribery, is independent of the vote."
2019.19-465,0,15086,john_g_roberts_jr,scotus_justice,602.0,602.92,Justice Ginsburg?
