file_name,section,speaker_id,speaker_name,speaker_role,start,stop,text
1969.2_misc,0,15073,warren_e_burger,scotus_justice,0.0,25.991,Chandler against the Judicial Council.
1969.2_misc,0,42905,thomas_j_kenan,,28.808,46.423,"Thank you sir, may it please the Court."
1969.2_misc,0,15043,potter_stewart,scotus_justice,113.32,116.493,"How many judges are there in that district, Mr. Kenan?"
1969.2_misc,0,42905,thomas_j_kenan,,116.493,120.857,"Your Honor, I think there's three, maybe four -- four judges."
1969.2_misc,0,15043,potter_stewart,scotus_justice,123.638,124.446,A senior judge?
1969.2_misc,0,42905,thomas_j_kenan,,124.446,129.75,"Yes, sir."
1969.2_misc,0,15073,warren_e_burger,scotus_justice,149.989,156.409,How do you distinguish -- how do you discern the form in which they act?
1969.2_misc,0,42905,thomas_j_kenan,,156.409,163.951,"Well, sir, the order itself, the signators or the judges who signed it beneath their signators, they said Circuit Judge."
1969.2_misc,0,15073,warren_e_burger,scotus_justice,194.828,210.164,"Well, when all the judges -- all of the circuit judges of a given circuit assemble and meet to address themselves to any business other than an en banc hearing, are they not acting as a Judicial Council?"
1969.2_misc,0,42905,thomas_j_kenan,,210.164,212.261,"I don't believe they are, Your Honor."
1969.2_misc,0,15073,warren_e_burger,scotus_justice,236.843,250.007,"But some Judicial Councils meet once a month, sometimes twice a month, sometimes three times a month, depending on the nature and the quantity of the administrative problems they have before them."
1969.2_misc,0,42905,thomas_j_kenan,,250.863,251.19,Yes sir.
1969.2_misc,0,15073,warren_e_burger,scotus_justice,251.19,254.93,"-- as a counsel, not on a particular case."
1969.2_misc,0,42905,thomas_j_kenan,,254.93,259.406,"Well sir, the statute provides only that they're required to meet at least twice a year."
1969.2_misc,0,15073,warren_e_burger,scotus_justice,260.515,267.289,But you would not suggest that other meetings were not meetings of the council if they go beyond two meetings.
1969.2_misc,0,42905,thomas_j_kenan,,267.289,271.396,"No sir, I believe that this was a meeting of the Judicial Council."
1969.2_misc,0,15073,warren_e_burger,scotus_justice,275.651,281.606,"Oh, I was confused then by your comment about the signatures that the signed as circuit judges --"
1969.2_misc,0,42905,thomas_j_kenan,,281.606,281.975,"Yes, sir."
1969.2_misc,0,15073,warren_e_burger,scotus_justice,281.975,287.055,"But of course, they hold their place on the council only by virtue of their being the circuit judges, is that not true?"
1969.2_misc,0,42905,thomas_j_kenan,,287.055,289.795,"Yes sir, that is true."
1969.2_misc,0,15043,potter_stewart,scotus_justice,359.372,366.258,"Mr. Kenan, I've seen the order quoted, excerpts from it quoted and described in these various briefs."
1969.2_misc,0,42905,thomas_j_kenan,,367.829,368.298,"Yes, sir."
1969.2_misc,0,15097,john_m_harlan2,scotus_justice,602.148,607.218,What the -- did the second order purport to do with reference to the first?
1969.2_misc,0,42905,thomas_j_kenan,,607.218,611.801,"Well, Your Honor, the second order merely called for the hearing."
1969.2_misc,0,15107,william_o_douglas,scotus_justice,648.402,658.78,Does the Council undertake to say that certain members of the Court of Appeals shall not sit in certain cases?
1969.2_misc,0,42905,thomas_j_kenan,,658.78,660.204,"No sir, it doesn't."
1969.2_misc,0,15107,william_o_douglas,scotus_justice,660.204,664.896,Is this running just to the -- I know that Judge Chandler is a District Judge.
1969.2_misc,0,42905,thomas_j_kenan,,664.896,677.362,"Well, Your Honor, the Judicial Council is given the authority to examine the reports of the administrator of the U.S. Courts and --"
1969.2_misc,0,15107,william_o_douglas,scotus_justice,677.362,678.153,I understand that.
1969.2_misc,0,42905,thomas_j_kenan,,684.742,690.006,"Well, as a matter of practice, the Judicial Council is the Tenth Circuit and --"
1969.2_misc,0,15107,william_o_douglas,scotus_justice,690.006,691.887,"I know, but what have they done as respect to the Circuit?"
1969.2_misc,0,42905,thomas_j_kenan,,695.985,699.836,"Well, Your Honor, I don't know what they've done with respect to the rest of the Circuit."
1969.2_misc,0,15043,potter_stewart,scotus_justice,703.305,721.086,"Section 300, in the last paragraph of Section 332, whether advertently or inadvertently, Congress provided only that district judges shall properly carry into effect all orders of the Judicial Council, it does not mention circuit judges."
1969.2_misc,0,42905,thomas_j_kenan,,721.086,725.605,"That's correct, sir."
1969.2_misc,0,15140,william_j_brennan_jr,scotus_justice,780.176,785.119,I gather that the -- that District Court doesn't operate from a master calendar?
1969.2_misc,0,42905,thomas_j_kenan,,785.119,790.328,"The -- there is a system whereby the cases are arbitrarily assigned to judges, Your Honor."
1969.2_misc,0,15140,william_j_brennan_jr,scotus_justice,790.328,791.075,As they're filed?
1969.2_misc,0,42905,thomas_j_kenan,,791.075,792.755,"As they're filed, yes sir, by law."
1969.2_misc,0,15140,william_j_brennan_jr,scotus_justice,792.755,793.947,And that's criminal or civil?
1969.2_misc,0,42905,thomas_j_kenan,,793.947,796.41,"Yes, sir."
1969.2_misc,0,15089,hugo_l_black,scotus_justice,975.429,976.645,That it was what?
1969.2_misc,0,42905,thomas_j_kenan,,976.645,979.135,"That it was acting as a Court, as an inferior court."
1969.2_misc,0,15089,hugo_l_black,scotus_justice,979.135,980.529,Inferior Court?
1969.2_misc,0,42905,thomas_j_kenan,,980.529,985.678,"Yes sir, when it issued this order, stripping Judge Chandler of his powers."
1969.2_misc,0,15073,warren_e_burger,scotus_justice,1015.659,1026.671,"Would you say the same, Mr. Kenan, with respect to the judges sitting on the Judicial Conference of the United States which is also a statutory body?"
1969.2_misc,0,42905,thomas_j_kenan,,1026.671,1033.726,"Your Honor, I contend that the Judicial Conference could act in a way in which was an exercise of the judicial powers."
1969.2_misc,0,15073,warren_e_burger,scotus_justice,1059.947,1062.299,"You meant the Judicial Conference there, didn't you?"
1969.2_misc,0,42905,thomas_j_kenan,,1062.299,1065.992,"No, I was back on the Judicial Council, Your Honor."
1969.2_misc,0,15073,warren_e_burger,scotus_justice,1066.724,1075.881,What is the specific judicial power which has been vested in those terms in the Judicial Council to which you were referring?
1969.2_misc,0,42905,thomas_j_kenan,,1076.982,1094.705,"Yes sir, the Council -- the Council by statue of Congress is given the authority when the district judges cannot agree upon the removal of the referee in bankruptcy, to remove the referee in bankruptcy of their Court upon a hearing, and this is provided by Congress."
1969.2_misc,0,15089,hugo_l_black,scotus_justice,1107.336,1109.388,Where is that in your brief?
