file_name,section,speaker_id,speaker_name,speaker_role,start,stop,text
1992.91_522,0,15141,william_h_rehnquist,scotus_justice,0.0,13.03,"We'll hear argument first this morning in number 91-522, Saudi Arabia, King Faisal Specialist Hospital and Royspec v. Scott Nelson."
1992.91_522,0,22538,everett_c_johnson_jr,,15.06,17.473,"Mr. Chief Justice, and may it please the Court:"
1992.91_522,0,15071,byron_r_white,scotus_justice,98.558,108.516,Do you deny that there was any commercial activity in this country by your client?
1992.91_522,0,22538,everett_c_johnson_jr,,108.516,118.49,"--Your Honor, the recruitment activity in this country by the client, if the acts of its agent, HCA, are to be attributed to it, would be commercial activity."
1992.91_522,0,15071,byron_r_white,scotus_justice,119.342,122.614,"Just recruiting, hiring is a commercial activity."
1992.91_522,0,22538,everett_c_johnson_jr,,122.614,126.507,"--Recruiting and hiring in this case is a commercial activity I believe, Your Honor."
1992.91_522,0,15071,byron_r_white,scotus_justice,135.105,144.552,"So, it's just as though the... Saudi Arabia sent its own employees over here to recruit?"
1992.91_522,0,22538,everett_c_johnson_jr,,144.552,146.725,"--No, I think it's not that, Justice White."
1992.91_522,0,15071,byron_r_white,scotus_justice,171.371,176.916,"So, what's your view on that, whether or not the acts of the... of your agent can be attributed to the government?"
1992.91_522,0,22538,everett_c_johnson_jr,,176.916,180.229,"--I believe they should not be automatically attributed, Your Honor."
1992.91_522,0,15071,byron_r_white,scotus_justice,180.229,180.95,"Well, how about in this case?"
1992.91_522,0,22538,everett_c_johnson_jr,,180.95,184.913,"I believe they should not be attributed in this case, and let me elaborate on that if I may."
1992.91_522,0,15071,byron_r_white,scotus_justice,207.591,212.286,"Well, was the contract signed in Miami?"
1992.91_522,0,22538,everett_c_johnson_jr,,212.286,214.056,"--Your Honor, I believe the--"
1992.91_522,0,15071,byron_r_white,scotus_justice,214.056,215.448,The contract of employment?
1992.91_522,0,22538,everett_c_johnson_jr,,215.448,219.71,"--The contract of employment Mr. Nelson alleges was signed in Florida, yes, sir."
1992.91_522,0,15071,byron_r_white,scotus_justice,219.71,224.652,"Well, and who signed it for... there just wasn't one signature, was there?"
1992.91_522,0,22538,everett_c_johnson_jr,,224.652,225.303,That's correct.
1992.91_522,0,15071,byron_r_white,scotus_justice,226.014,226.274,Who signed it?
1992.91_522,0,22538,everett_c_johnson_jr,,226.274,232.108,--It was signed on behalf of the hospital by a gentleman by the name of Donald LaFeu who was an employee of HCA.
1992.91_522,0,15071,byron_r_white,scotus_justice,232.108,238.033,"So, did he... and HCA had authority to sign that contract?"
1992.91_522,0,22538,everett_c_johnson_jr,,238.033,238.644,"They did, Your Honor."
1992.91_522,0,15060,john_paul_stevens,scotus_justice,294.813,298.305,May I just ask this clarifying question?
1992.91_522,0,22538,everett_c_johnson_jr,,313.126,315.449,"--Justice Stevens, if I may break that into two parts."
1992.91_522,0,15060,john_paul_stevens,scotus_justice,322.885,325.036,"Well, say they didn't pay his salary."
1992.91_522,0,22538,everett_c_johnson_jr,,325.036,327.597,"--That could be based upon commercial activity, yes, Justice Stevens."
1992.91_522,0,15060,john_paul_stevens,scotus_justice,335.443,338.255,Let me be sure I understand your answer.
1992.91_522,0,22538,everett_c_johnson_jr,,344.318,344.499,--Yes.
1992.91_522,0,15060,john_paul_stevens,scotus_justice,352.286,355.859,"Is your position on that particular question the same as the United States', do you know?"
1992.91_522,0,22538,everett_c_johnson_jr,,355.859,364.945,"I'm not sure the United States has taken a formal position on the substantial contact inquiry in this case because it is, properly understood, a much more fact-specific inquiry."
1992.91_522,0,15060,john_paul_stevens,scotus_justice,368.087,371.439,I read one footnote in their brief as suggesting there would be jurisdiction in the case I posed.
1992.91_522,0,22538,everett_c_johnson_jr,,371.439,373.912,"I'm sorry, Justice."
1992.91_522,0,15060,john_paul_stevens,scotus_justice,373.912,380.726,I say I read one footnote in their brief as seeming to me to suggest there would be jurisdiction in their view in the case I suggest.
1992.91_522,0,22538,everett_c_johnson_jr,,380.726,383.328,"Well, I think--"
1992.91_522,0,15060,john_paul_stevens,scotus_justice,383.328,383.928,Do you disagree with that?
1992.91_522,0,22538,everett_c_johnson_jr,,383.928,386.161,"--I... well, it depends on the underlying facts."
1992.91_522,0,15049,antonin_scalia,scotus_justice,401.772,404.103,Do you--
1992.91_522,0,22538,everett_c_johnson_jr,,408.146,412.4,"Well, of course, the in the United States is the question."
1992.91_522,0,15049,antonin_scalia,scotus_justice,434.667,466.289,"Do you think commercial activity... a commercial activity, such as a contract, the signing and performance of a contract, is divisible so that the signing of the contract is one commercial activity, the performance of the contract in Saudi Arabia is a separate commercial activity so that if you don't pay for the service in Saudi Arabia, that is, indeed, a commercial activity, but it's not a commercial activity in the United States within the meaning of the act?"
1992.91_522,0,22538,everett_c_johnson_jr,,467.331,470.313,"That may be cutting too fine a point, Justice Scalia."
1992.91_522,0,15049,antonin_scalia,scotus_justice,483.145,484.263,I think that's even a finer line.
1992.91_522,0,22538,everett_c_johnson_jr,,486.827,499.423,"Well, I... and I think these questions come together somewhat in this inquiry because the question is what is the cause of action based upon, and to be sure, the cause of action does not refer back to the recruitment activity."
1992.91_522,0,15049,antonin_scalia,scotus_justice,507.42,520.727,"Even with respect to recruitment, why isn't the... why isn't... at least as to the negligence cause of action here, why isn't that gravamen based upon the activity in the United States?"
1992.91_522,0,22538,everett_c_johnson_jr,,530.976,532.208,That's correct.
1992.91_522,0,15049,antonin_scalia,scotus_justice,544.268,544.449,Wait.
1992.91_522,0,22538,everett_c_johnson_jr,,545.821,552.834,"--Well, because, Justice Scalia, it's just a different theory of recovery for the same conduct, and the statute is explicit in at least this one thing."
